Column1,PLAYER,TEAM,AGENT,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"artzin
																			MIBR",artzin,MIBR,3,71,0.51,121.5,0.52,0.66,86.3,0.44,0.25,0.04,0.15,26%,0%,0/5,12,31,60,18,3,11
"aspas
																			MIBR",aspas,MIBR,3,71,0.53,129.8,0.53,0.59,88.8,0.44,0.17,0.07,0.21,18%,20%,1/5,10,31,59,12,5,15
"Midi
																			XLG",Midi,XLG,2,75,0.59,132,0.58,0.61,88.8,0.48,0.19,0.04,0.03,34%,0%,0/5,14,36,62,14,3,2
"coconut
																			XLG",coconut,XLG,2,75,0.65,128.3,0.57,0.65,82.6,0.45,0.29,0.01,0.08,26%,23%,3/13,12,34,60,22,1,6
"Viva
																			XLG",Viva,XLG,1,75,0.67,147,0.51,0.59,107.6,0.44,0.28,0.05,0.03,27%,0%,0/16,11,33,65,21,4,2
"cortezia
																			MIBR",cortezia,MIBR,2,71,0.69,164,0.66,0.59,115.2,0.55,0.17,0.1,0.14,33%,0%,0/10,12,39,59,12,7,10
"xenom
																			MIBR",xenom,MIBR,2,71,0.71,148.3,0.65,0.63,101.7,0.55,0.15,0.06,0.14,35%,0%,0/12,15,39,60,11,4,10
"MiniBoo
																			TH",MiniBoo,TH,3,81,0.74,167.5,0.81,0.6,105.6,0.64,0.09,0.12,0.11,31%,0%,0/8,19,52,64,7,10,9
"crazyguy
																			RRQ",crazyguy,RRQ,3,100,0.75,144.2,0.65,0.64,90.7,0.47,0.34,0.11,0.14,25%,9%,2/22,11,47,72,34,11,14
"Boo
																			TH",Boo,TH,3,81,0.76,139.5,0.7,0.62,86.7,0.48,0.43,0.02,0.1,38%,6%,1/17,14,39,56,35,2,8
"Knight
																			BLG",Knight,BLG,3,179,0.83,149.1,0.81,0.69,105,0.51,0.23,0.06,0.09,26%,7%,1/15,18,92,113,42,11,16
"Serial
																			TL",Serial,TL,4,142,0.83,155.2,0.84,0.66,103.1,0.57,0.16,0.09,0.07,45%,32%,6/19,20,81,97,23,13,10
"Boaster
																			FNC",Boaster,FNC,3,419,0.84,143.4,0.76,0.72,94.4,0.47,0.36,0.08,0.08,25%,9%,3/35,21,199,261,149,33,33
"benjyfishy
																			TH",benjyfishy,TH,2,81,0.85,178.8,0.85,0.62,119.9,0.63,0.11,0.12,0.06,30%,17%,2/12,18,51,60,9,10,5
"Jemkin
																			RRQ",Jemkin,RRQ,3,100,0.85,196.8,0.88,0.66,138.2,0.69,0.14,0.21,0.16,33%,0%,0/5,19,69,78,14,21,16
"RieNs
																			TH",RieNs,TH,3,81,0.85,191.5,0.84,0.63,125,0.63,0.25,0.09,0.12,28%,0%,0/7,17,51,61,20,7,10
"Rarga
																			XLG",Rarga,XLG,3,75,0.86,217,0.88,0.64,136.1,0.76,0.16,0.2,0.25,41%,33%,2/6,20,57,65,12,15,19
