Player,Agents,Rnd,R2.0,ACS,K:D,CL,KMax,K,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
"t3xture
																			GEN",,255,1.23,258.2,1.44,7/19,27,239,t3xture,GEN,0.74,159.5,0.94,0.19,0.21,0.17,0.28
"Spring
																			WOL",,349,1.21,244.1,1.23,2/29,26,295,Spring,WOL,0.74,160.1,0.85,0.32,0.13,0.09,0.29
"Verno
																			MIBR",,71,1.18,230.5,1.02,3/22,19,56,Verno,MIBR,0.7,157.6,0.79,0.3,0.04,0.04,0.28
"Alfajer
																			FNC",(+3),419,1.17,257.9,1.3,4/33,29,392,Alfajer,FNC,0.73,167.6,0.94,0.14,0.17,0.11,0.32
"zekken
																			SEN",(+2),249,1.17,237.5,1.21,3/18,27,202,zekken,SEN,0.74,147.2,0.81,0.26,0.19,0.21,0.24
"trent
																			G2",,198,1.17,214.2,1.22,4/30,22,152,trent,G2,0.81,138,0.77,0.25,0.1,0.07,0.35
"leaf
																			G2",,198,1.15,230.3,1.21,10/35,24,161,leaf,G2,0.75,148.6,0.81,0.26,0.08,0.08,0.24
"Chronicle
																			FNC",(+2),419,1.13,207.6,1.18,7/51,27,302,Chronicle,FNC,0.72,141.1,0.72,0.3,0.08,0.06,0.26
"whzy
																			BLG",,179,1.13,253.1,1.21,2/16,29,160,whzy,BLG,0.68,155.5,0.89,0.16,0.19,0.17,0.28
"f0rsakeN
																			PRX",(+1),387,1.12,208.9,1.06,9/29,25,280,f0rsakeN,PRX,0.74,137.5,0.72,0.4,0.1,0.08,0.26
"Jinggg
																			PRX",,387,1.1,229.1,1.15,2/25,26,303,Jinggg,PRX,0.73,151.9,0.78,0.26,0.14,0.13,0.23
"Keiko
																			TL",(+1),187,1.1,199.3,1.17,4/31,29,142,Keiko,TL,0.72,132.9,0.76,0.17,0.09,0.07,0.45
"N4RRATE
																			SEN",(+1),249,1.08,219.5,1.06,5/20,21,185,N4RRATE,SEN,0.75,140.1,0.74,0.34,0.06,0.09,0.24
"d4v41
																			PRX",(+1),387,1.07,189.4,1.12,6/61,29,277,d4v41,PRX,0.73,131.7,0.72,0.23,0.05,0.07,0.26
"happywei
																			XLG",,75,1.06,223,0.97,2/17,20,57,happywei,XLG,0.61,147,0.76,0.17,0.16,0.15,0.45
"kaajak
																			FNC",(+1),419,1.06,218.3,1.13,7/39,32,327,kaajak,FNC,0.71,141.5,0.78,0.16,0.19,0.16,0.35
"rushia
																			BLG",,179,1.03,201.9,0.99,2/21,23,126,rushia,BLG,0.72,130.6,0.7,0.38,0.12,0.08,0.27
"Karon
																			GEN",,255,1.03,189.3,1.09,4/35,24,176,Karon,GEN,0.76,125.6,0.69,0.32,0.09,0.09,0.31
"crashies
																			FNC",,419,1.03,181.8,1.07,5/51,26,273,crashies,FNC,0.74,126.4,0.65,0.29,0.05,0.03,0.34
"Ash
																			GEN",,255,1.02,173.9,1.05,5/33,19,158,Ash,GEN,0.74,118.3,0.62,0.22,0.05,0.03,0.31
"PatMen
																			PRX",,387,1.01,193,1.02,10/41,22,263,PatMen,PRX,0.73,124.2,0.68,0.32,0.06,0.08,0.31
